Proteome_ID,Tax_ID,SUPERREGNUM
UP000007051,469660,viruses
UP000676968,2786657,viruses
UP000292886,2506420,bacteria
UP000581688,394506,bacteria
UP000240739,2133960,bacteria
UP000000647,349124,bacteria
UP000126963,714200,viruses
UP000613840,1716077,bacteria
UP000183988,930117,bacteria
UP000027337,83219,bacteria
UP000272984,2419639,viruses
UP000622860,1479511,bacteria
UP000504637,1314786,eukaryota
UP000008902,1071503,viruses
UP000000768,4558,eukaryota
UP000199049,1855303,bacteria
UP000002370,2994045,viruses
UP000278006,1550736,bacteria
UP000315813,2587820,viruses
UP000593574,34288,eukaryota
UP000270616,2485125,bacteria
UP000232403,2049944,viruses
UP000823388,38727,eukaryota
UP001056178,2961708,viruses
UP000640043,2789880,bacteria
UP000295560,401976,bacteria
UP000201231,1923107,viruses
UP000008592,928304,viruses
UP000510878,2743969,viruses
UP000010370,1147147,viruses
UP000202965,1923489,viruses
UP000007502,979525,viruses
UP000005617,658085,bacteria
UP000550309,360224,eukaryota
UP000002820,1168478,viruses
UP000144239,110829,viruses
UP000203450,1738045,viruses
UP000001864,526118,viruses
UP000095380,88431,bacteria
UP000029762,1513224,viruses
UP000199341,310781,bacteria
UP000244718,2056849,bacteria
UP000208108,223352,viruses
UP000247257,1516115,viruses
UP000239867,1986146,bacteria
UP000033540,1403190,eukaryota
UP000325994,2652894,viruses
UP000292526,2211642,eukaryota
UP000295511,2547396,bacteria
UP000204573,1923648,viruses
UP000030879,1543706,bacteria
UP000682704,2786365,viruses
UP000008045,1237364,viruses
UP000017836,13333,eukaryota
UP000296930,2558535,viruses
UP000202234,1922948,viruses
UP000326601,2650877,viruses
UP000304901,2557550,viruses
UP000679308,2786654,viruses
UP000029362,1541883,viruses
UP000112381,458682,viruses
UP000236727,1520810,bacteria
UP000242432,1123324,bacteria
UP000430309,2686083,viruses
UP000076077,252514,bacteria
UP000676934,2786400,viruses
UP000199409,37625,bacteria
UP000515148,13443,eukaryota
UP000278586,2315531,viruses
UP000376575,2569534,bacteria
UP000236956,2080748,bacteria
UP000033664,151081,bacteria
